Adaptive,适应型,,为了适应创伤
Tramagenic,创伤型,,由于创伤（可能带歧视）
Acquiregenic,NA,,躯体生物特征
Alphagenic,A类创伤型,,A类创伤——去成为一个健康稳定的身份中，缺乏足够的东西
Apagenic,NA,,对神经多样性或者精神疾病缺乏关怀
Araisagenic,NA,,适应不良的白日梦或者逃避
Arogenic,非浪漫源,,不浪漫
Autigenic,自闭症谱源的,,自闭症谱系/孤独症谱系
Betagenic,B类创伤源的,,B类创伤；某些超过情感承载能力的事件
BPD System,BPD源的,,BPD；边缘性人格障碍
Ceregenic,脑伤型的,,大脑伤口/应对大脑伤口
Chaogenic,混乱型的,,有很多来源；或者自然中混乱的一面
Davegenic,ADHD型的,,ADHD；注意力缺陷多动性疾病
Deligenic,精神妄想型的,,妄想/精神病
Dissociagenic,解离源的,,解离
DPD System,DPD源的,,DPD；依赖性人格障碍
Edisgenic,饮食障碍源的,,饮食障碍
Exotraumagenic,外创伤型的,,非现实创伤
Extraumagenic,NA,,非现实创伤，且创伤类型未知
Intratraumagenic,内创伤源的,,内部成员间的创伤
Maliciogenic,恶意为之,,因为其他系统成员的恶意想法而创造的
Nebugenic,混乱型的,,自我身份的混乱
Neurogenic,神经源的,,神经多样性或者精神疾病
OC-Genic,OCD型,,OCD；强迫症
Outertraumagenic,他人创伤源的,,另一个系统成员的创伤
Paragenic,白日梦型,,MaDD；适应不良的白日梦
Parotraumagenic,NA,,为了处理创伤
Peiragenic,自杀源的,,一次自杀尝试
Phobiogenic,恐惧症源的,,恐惧症
Physiogenic,残疾源的,,现实生活中的残疾
Psychatraumagenic,部分精神病源的,,因为精神疾病产生的创伤，而部分或全部产生的
Pythogenic,虐待源的,,虐待者
Solumgenic,孤独源的,,孤独
Spitegenic,恶意源的,,出于恶意
Stressgenic,压力源的,,压力、焦虑、紧张
Trichogenic,拔毛源的,,拔毛癖
Tristegenic,负面源的,,负面情绪
